연번,시군,읍면동,시설종류,시설용도(공공용 시설건물 주용도),민방위대피시설명칭,주소(도로명 주소),주소(지번 주소),대피가능면적(제곱미터),대피 가능인원(명)
206,김천시,지좌동,공공용,주거시설,덕곡한마음타운 지하주차장 1층,김천시 한마음길 8(덕곡동),김천시 덕곡동 1196-1,5289.2,5289
207,김천시,지좌동,공공용,주거시설,덕곡주공아파트 지하주차장 1층,김천시 무실7길 38(덕곡동),김천시 덕곡동 767,1894,1894
208,김천시,지좌동,공공용,주거시설,남혁신 코아루 푸르나임 지하주차장 1층,김천시 무실7길 45(덕곡동),김천시 덕곡동 1467,4465,4465
209,김천시,율곡동,공공용,주거시설,KCC스위첸아파트 지하주차장 1층,김천시 혁신5로 11(율곡동),김천시 율곡동 408,23396.25,23396
210,김천시,율곡동,공공용,주거시설,영무예다음1차아파트 지하주차장 1층,김천시 혁신8로 66(율곡동),김천시 율곡동 415,21197,21197
211,안동시,송하동,공공용,주거시설,"안동송현이안 지하주차장 1층, 2층",안동시 송현길 23,안동시 송현동1135,26868,26868
212,안동시,옥동,공공용,주거시설,옥동3주공(1주차장 지하1층),안동시 은행나무로 106-6,안동시 옥동 974,1361,1361
213,안동시,옥동,공공용,주거시설,옥동3주공(2주차장 지하1층), 안동시 은행나무로 106-6,안동시 옥동 974,1361,1361
214,안동시,태화동,공공용,주거시설,브라운스톤1단지 지하주차장 1층,안동시 말구리길50,안동시 태화동 890,1975,1975
215,안동시,옥동,공공용,주거시설,휴먼시사8단지 전동 지하1층,안동시 옥서1길90,안동시 옥동 920-1,8418,8418
216,안동시,태화동,공공용,주거시설,브라운스톤2단지 지하주차장 1층,안동시 말구리2길55,안동시 태화동 878,1918,1918
217,안동시,중구동,공공용,관공서,안동소방서 지하1층,안동시 육사로301,안동시 운흥동 32-9,409,409
218,안동시,서구동,공공용,상업시설,㈜KT안동지사 지하주차장  1층,안동시 안기천로 86 (당북동),안동시 당북동 48-7,1008,1008
219,안동시,중구동,공공용,교육연구시설,안동시립도서관 지하1층,안동시 태사길78,안동시 옥정동 446-2,234,234
220,안동시,송천동,공공용,학교시설,안동대학교본관 지하1층   ,안동시 경동로 1375(송천동),안동시 송천동 388,195,195
221,안동시,강남동,공공용,학교시설,성희여자고등학교 본관 지하1층,안동시 강남로246,안동시 정하동 102-1,231,231
222,안동시,서구동,공공용,관공서,안동우체국 지하1층 식당,안동시 경동로 560 (당북동),안동시 당북동 333-5,489,489
223,안동시,중구동,공공용,의료시설,안동보건소 지하주차장 1층,안동시 서동문로165,안동시 북문동 58,958,958
224,안동시,중구동,공공용,의료시설,안동의료원 지하1층 장례식장,안동시 태사2길55,안동시 북문동 470,958,958
225,안동시,서구동,공공용,금융시설,안동농업협동조합 지하1층 식당,안동시 제비원로 141 (당북동),안동시 당북동 30-9,320,320
226,안동시,평화동,공공용,주거시설,상일아파트 101동 지하1층,안동시 새골2길 19-4,안동시 운안동 342-1,661,661
227,안동시,태화동,공공용,방송통신시설,KBS방송국 지하1층,안동시 감나무3길27,안동시 운안동 666,661,661
228,안동시,태화동,공공용,주거시설,태화현대아파트 지하1층,안동시 광명로227,안동시 태화동 634-209,1705,1705
229,안동시,용상동,공공용,의료시설,용상안동병원지하1층(식당),안동시 전거리길 57(용상동),안동시 용상동 1592-31,1636,1636
230,안동시,서구동,공공용,교육연구시설,경상북도립안동도서관 지하1층,안동시 안기천로 48 (당북동),안동시 당북동 333-157,700,700
231,안동시,명륜동,공공용,관공서,시청 본관 지하1층,안동시 퇴계로115,안동시 명륜동 344,717,717
232,안동시,서구동,공공용,주거시설,상일파크맨션 102동 3~6라인 지하 1층,안동시 법상길 41-7 (법상동),안동시 법상동 42,1077,1077
233,안동시,강남동,공공용,주거시설,화성드림파크 지하주차장 1층,안동시 강남1길108,안동시 정하동 300-1,6430,6430
234,안동시,용상동,공공용,상업시설,우정프라자 지하1층 주차장,안동시 경동로 844(용상동),안동시 용상동 1439-2,856,856
235,안동시,서구동,공공용,금융시설,농협중앙회광석동지점 지하주차장 지하1층,안동시 서동문로 112 (광석동),안동시 광석동 210-9,383,383
236,안동시,용상동,공공용,주거시설,용상현대아파트 11동 지하주차장 1층,안동시 길주길 101-12(용상동),안동시 용상동 600,8446,8446
237,안동시,평화동,공공용,주거시설,평화현대아파트 전동 지하1층,안동시 감나무5길 15,안동시 평화동 164-48,2214,2214
238,안동시,평화동,공공용,주거시설,평화대성맨션 전동 지하1층,안동시 단원로71-1,안동시 운안동 354,482,482
239,안동시,송현동,공공용,주거시설,송현영남아파트 지하주차장 1층,안동시 합전3길 33-22 (송현동),안동시 송현동 298-9,641,641
240,안동시,태화동,공공용,주거시설,우성아파트 지하1층,안동시 어가골윗길10-3,안동시 태화동 578-1,2330,2330
241,안동시,중구동,공공용,복지시설,백암재단 지하1층 주차장,안동시 서동문로 217,안동시 법흥동 131,330,330
242,안동시,명륜동,공공용,주거시설,안막동현대아파트 지하주차장 1층,안동시 퇴계로220-16,안동시 안막동 71-9,2122,2122
243,안동시,안기동,공공용,주거시설,안기동아아파트 지하주차장 1층,안동시 제비원로 268-7,안동시 이천동 223-34,1808,1808
244,안동시,용상동,공공용,학교시설,안동대학교 공과대학 1호관 지하1층,안동시 경동로 1375(송천동),안동시 송천동 388,1576,1576
245,안동시,옥동,공공용,주거시설,옥동삼성1차 (1주차장 지하1층),안동시 옥광1길 17,안동시 옥동 638-1,3788,3788
246,안동시,옥동,공공용,주거시설,옥동삼성1차 (2주차장 지하1층),안동시 옥광1길 17,안동시 옥동 638-1,2102,2102
247,안동시,용상동,공공용,주거시설,용상주공5아파트 503동 지하주차장 1층,안동시 경동로 977-6(용상동),안동시 용상동 1625,9130,9130
248,안동시,서구동,공공용,주거시설,태성아파트 지하주차장 1층,안동시 제비원로 172 (금곡동),안동시 금곡동124-1,2370,2370
249,안동시,용상동,공공용,주거시설,용상주공6아파트 5동 지하주차장 1층,안동시 경동로 977-5(용상동),안동시 용상동 1629,3348,3348
250,안동시,옥동,공공용,주거시설,옥동세영아파트 지하주차장 1층,안동시 복주1길 15,안동시 옥동 368-1,2102,2102
251,안동시,태화동,공공용,주거시설,태화태성아파트 지하1층,안동시 말구리길87,안동시 태화동 656,1160,1160
252,안동시,안기동,공공용,주거시설,안기경동아파트 전체동 지하1층,안동시 안기1길 40-62,안동시 안기동 240,1322,1322
253,안동시,안기동,공공용,주거시설,안기우성아파트 전체동 지하1층,안동시 영남길 32,안동시 안기동190,1110,1110
254,안동시,풍산읍,공공용,관공서,풍산행정복지센터(지하 1층),안동시 풍산중앙길99,안동시 풍산읍 130,190,190
255,안동시,안기동,공공용,주거시설,안기대원아파트 지하주차장 1층,안동시 안기1길 39,안동시 안기동 168-6,2975,2975
256,안동시,옥동,공공용,주거시설,옥동세영두레마을 지하주차장 1층,안동시 복주2길 25,안동시 옥동 766-1,1223,1223
257,안동시,서구동,공공용,관공서,안동교육지원청 지하1층 식당,안동시 배움길 76-5 (당북동),안동시 당북동 333-158,429,429
258,안동시,용상동,공공용,기타시설,농업기술센터 본관 1층,안동시 경동로 1484-10(송천동),안동시 송천동 1319-54,178,178
259,안동시,용상동,공공용,의료시설,안동병원재활센터 지하주차장 1층,안동시 경동로 830(용상동),안동시 용상동 1445-54,1804,1804
260,안동시,송하동,공공용,주거시설,삼성명가아파트 지하주차장 1층, 안동시 송현길 154-19,안동시 송현동 516-5,1739,1739
261,안동시,태화동,공공용,상업시설,수산궁빌딩 지하주차장 1층,안동시 대안로18,안동시 태화동 60-2,198,198
262,안동시,중구동,공공용,상업시설,두리원웨딩 지하1층 주차장,안동시 육사로267,안동시 운흥동 300-7,2753,2753
263,안동시,강남동,공공용,교육연구시설,경북교육과학연구원 지하1층,안동시 강남로152,안동시 정하동 385,235,235
264,안동시,남후면,공공용,의료시설,경북도립안동노인전문요양병원(유리한방병원)신관 지하 1층,안동시 남일로1463,안동시 남후면 363-2,707,707
265,안동시,옥동,공공용,주거시설,옥동7주공 (703~705동 지하 1층),안동시 옥서1길 25,안동시 옥동 927,2556,2556
266,안동시,강남동,공공용,주거시설,현진에버빌아파트 지하주차장 1층,안동시 강남5길92,안동시 정하동 240-2,7356,7356
267,안동시,명륜동,공공용,주거시설,화성아파트 1동 지하주차장 1층,안동시 퇴계로259,안동시 안막동 77-15,888,888
268,안동시,옥동,공공용,주거시설,옥동세영첼시빌 지하1층,안동시 광명로 133,안동시 옥동 784-1,2382,2382
269,안동시,평화동,공공용,주거시설,명성한마음타운 전동 지하1층,안동시 단원로81-8,안동시 운안동 354,2526,2526
270,안동시,서구동,공공용,문화·집회시설,문화예술회관(지하 2층),안동시 축제장길 66 (안흥동),안동시 안흥동 373-4,3159,3159
271,안동시,평화동,공공용,주거시설,대원한숲타운 전동 지하1층,안동시 한화길37,안동시 운안동 331,1344,1344
272,안동시,안기동,공공용,주거시설,안기세영아파트 지하주차장 1층,안동시 제비원로 373,안동시 이천동 285,1526,1526
273,안동시,중구동,공공용,상업시설,홈플러스 안동점 지하1층 주차장,안동시 경동로 656,안동시 남문동247-28,9122,9122
274,안동시,서구동,공공용,주거시설,센트럴자이아파트 전체 동의 지하1층 주차장,안동시 배움길77,안동시 당북동 446,19144,19144
275,안동시,옥동,공공용,주거시설,호반베르디움 전동 지하1층,안동시 옥서1길70,안동시 옥동 920-4,19755,19755
276,안동시,옥동,공공용,주거시설,옥동 효성해링턴플레이스 전동 지하1층,안동시 경북대로438,안동시 옥동 1443,11892,11892
277,안동시,용상동,공공용,주거시설,용상세영아파트 103동 지하주차장 1층,안동시 중평길39,안동시 용상동 1632,20154,20154
278,안동시,명륜동,공공용,주거시설,계림플러스아파트 지하주차장 1층,안동시 퇴계로233-22,안동시 안막동 69-11,995,995
279,안동시,태화동,공공용,주거시설,안동롯데캐슬아파트 지하주차장 1층,안동시 경북대로 340,안동시 태화동 920,7800,7800
280,안동시,강남동,공공용,의료시설,안동병원전문요양센터 본관 지하1층,안동시 안동시 뒨지게길 69,안동시 정하동 396-2,165,165
281,안동시,송하동,공공용,주거시설,청구하이츠1차 지하주차장 1층,안동시  송현길84-28 ,안동시 송현동 516-2,5425,5425
282,안동시,송하동,공공용,주거시설,청구하이츠2차 지하주차장 1층, 안동시 송현길 84-8,안동시 송현동 515,495,495
