하천명,하천등급,기점위치,기점경계위치,종점위치,종점경계위치,하천지정근거,하천고시일내역,본류명,1지류명,2지류명,하천연장(키로미터)
중평천,지방,경북예천유천,중평리128-7번지선,경북예천개포,금리24-4번지선 한천합류점,경북536호 (1966-04-22 ),2014-07-17,낙동강,내성천,한천,9.82
송평천,지방,경북예천호명,산합리99-1번지선,경북예천지보,수월리 185-9번지선 내성천(국가)합류점,경북536호 (1966-04-22 ),2014-07-17,낙동강,내성천,송평천,9.62
금천,지방,경북문경동노,적성리 1248번지선,경북문경영순,달지리 44-1번지선 내성천합류점,경북536호 (1966-04-22 ),2014-07-17,낙동강,내성천,금천,33.7
수진천,지방,경북문경동노,석항리 702번지선,경북문경동노,간송리 217번지선 금천합류점,경북88호 (1969-07-02 ),2014-07-17,낙동강,내성천,금천,4.76
대하리천,지방,경북문경산북,호암리 494번지선,경북문경산북,대하리 502번지선 금천합류점,경북536호 (1966-04-22 ),2014-07-17,낙동강,내성천,금천,13.37
복계천,지방,경북문경산북,지내리535번지선,경북예천용궁,무이리 37-2번지선 금천합류점,경북536호 (1966-04-22 ),2014-07-17,낙동강,내성천,금천,10.95
영강,지방,경북문경농암,병천교,경북문경영순,말응리 산105,경북536호 (1966-04-22 ),2016-01-21,낙동강,영강,,58.91
양산천,지방,경북문경가은,완장,경북문경가은,영강(지방) 합류점,경북536호 (1966-04-22 ),2004-08-23,낙동강,영강,양산천,9.7
조령천,지방,경북문경문경,마원,경북문경마성,영강(지방) 합류점,경북536호 (1966-04-22 ),2008-06-19,낙동강,영강,조령천,7.86
신북천,지방,경북문경문경,갈평,경북문경문경,조령천(지방) 합류점,경북536호 (1966-04-22 ),2008-06-19,낙동강,영강,조령천,10.44
산이천,지방,경북문경문경,평천(월항),경북문경문경,신북천(지방) 합류점,경북88호 (1969-07-02 ),2010-02-22,낙동강,영강,조령천,4.83
초곡천,지방,경북문경문경,상초,경북문경문경,조령천(지방) 합류점,경북536호 (1966-04-22 ),2007-08-23,낙동강,영강,조령천,6.96
가도천,지방,경북문경호계,선암,경북문경호계,영강(지방) 합류점,경북88호 (1969-07-02 ),2001-12-24,낙동강,영강,가도천,6.9
이안천,지방,경북상주내서,서원리 259번지선,경북상주함창,금곡리 215-3번지선 영강(지방) 합류점,경북536호 (1966-04-22 ),2020-04-13,낙동강,영강,이안천,38.36
대중천,지방,경북상주외서,예의 469,경북상주외서,이촌 199-4 이안천(지방) 합류점,경북88호 (1969-07-03 ),2020-04-13,낙동강,영강,이안천,7.24
시암천,지방,경북문경농암,선곡 309,경북상주은척,하흘 357-9 이안천(지방) 합류점,경북536호 (1966-04-22 ),2020-04-13,낙동강,영강,이안천,5.08
지평천,지방,경북상주이안,구미 939,경북상주공검,지평 246-1 이안천(지방) 합류점,경북88호 (1969-07-03 ),2020-04-13,낙동강,영강,이안천,6
지산천,지방,경북상주이안,안룡,경북상주공검,이안천(지방) 합류점,경북536호 (1966-04-22 ),2020-04-13,낙동강,영강,이안천,7.6
공덕천,지방,경북상주풍양,홍천리 725-1번지,경북상주풍양,효갈리(낙동강 합류점),경북88호 (1969-07-02 ),2014-06-30,낙동강,공덕천,,5.6
장산천,지방,경북상주공성,용신,경북상주공성,병성천(지방) 합류점,경북88호 (1969-07-02 ),2017-06-05,낙동강,병성천,장산천,4.14
청하천,지방,경북상주청리,청상,경북상주청리,병성천(지방) 합류점,경북88호 (1969-07-02 ),2017-06-05,낙동강,병성천,청하천,5.62
청리천,지방,경북상주외남,소상,경북상주청리,병성천(지방) 합류점,경북536호 (1966-04-22 ),2017-06-05,낙동강,병성천,청리천,4.9
북천,지방,경북상주모서,대표,경북상주복룡,병성천(지방) 합류점,경북536호 (1966-04-22 ),1993-12-28,낙동강,병성천,북천,23.9
개운천,지방,경북상주개운,개운,경북상주서문,북천(지방) 합류점,경북536호 (1966-04-22 ),2012-04-30,낙동강,병성천,북천,5.85
동천,지방,경북상주사벌,목가,경북상주낙상,병성천(지방) 합류점,경북536호 (1966-04-22 ),2002-11-25,낙동강,병성천,동천,7.5
외서천,지방,경북상주외서,가곡리,경북상주낙상,동천 합류점,경북536호 (1966-04-22 ),2016-06-16,낙동강,병성천,동천,8.27
삼덕천,지방,경북상주사벌,덕담,경북상주사벌,병성천(지방) 합류점,경북88호 (1969-07-03 ),2011-07-14,낙동강,병성천,삼덕천,4.2
장천,지방,경북상주낙동,용포,경북상주낙동,낙동강(국가) 합류점,경북536호 (1966-04-22 ),2019-10-24,낙동강,장천,,11.13
말지천,지방,경북의성다인,덕지리 775구 지번선,경북상주중동,신암리 131전 지번선 낙동강합류점,경북88호 (1969-07-03 ),2014-07-31,낙동강,말지천,,7.99
가암천,지방,경북군위고로,가암(백암),경북군위고로,위천(지방) 합류점,경북536호 (1966-04-22 ),1966-04-22,낙동강,위천,가암천,6.3
덕천천,지방,경북군위고로,화산,경북군위고로,위천(지방) 합류점,경북88호 (1969-07-03 ),1969-07-03,낙동강,위천,덕천천,8.5
구천,지방,경북군위산성,백학,경북군위우보,위천(지방) 합류점,경북536호 (1966-04-22 ),2018-11-08,낙동강,위천,구천,16.14
남천,지방,경북군위부계,대율,경북군위효령,위천(지방) 합류점,경북536호 (1966-04-22 ),2018-11-08,낙동강,위천,남천,19.96
사창천,지방,경북칠곡가산,용암,경북군위효령,남천(지방) 합류점,경북536호 (1966-04-22 ),2018-11-08,낙동강,위천,남천,12.96
신안천,지방,경북의성금성,도경,경북군위군위,위천(지방)-합류점,경북536호 (1966-04-22 ),2012-07-09,낙동강,위천,신안천,11.46
곡정천,지방,경북구미산동,백현리 1151(천)번지선,경북군위소보,위성리1191-4(천)번지선위천합류점,경북536호 (1966-04-22 ),2014-07-17,낙동강,위천,곡정천,10.73
쌍계천,지방,경북의성춘산,신흥리803번지선(중리교),경북의성비안,쌍계리754-1번지선(위천합류점),경북536호 (1966-04-22 ),2014-07-14,낙동강,위천,쌍계천,38.58
금오천,지방,경북의성춘산,금오(상류),경북의성춘산,쌍계천(지방) 합류점,경북88호 (1969-07-03 ),2010-09-27,낙동강,위천,쌍계천,5.48
사미천,지방,경북의성춘산,효선,경북의성가음,쌍계천(지방) 합류점,경북536호 (1966-04-22 ),2014-07-14,낙동강,위천,쌍계천,6.8
산마천,지방,경북의성금성,운곡,경북의성금성,쌍계천(지방) 합류점,경북536호 (1966-04-22 ),2018-04-23,낙동강,위천,쌍계천,6.6
남대천,지방,경북의성사곡,공정리776-3(답)번지선,경북의성봉양,구미리771-3(천)번지선,경북536호 (1966-04-22 ),2012-04-30,낙동강,위천,쌍계천,33.79
안평천,지방,경북의성안평,삼춘,경북의성봉양,쌍계천(지방) 합류점,경북536호 (1966-04-22 ),1999-08-09,낙동강,위천,쌍계천,17.5
화신천,지방,경북의성비안,산제리 494번지선,경북의성비안,쌍계천(지방) 합류점,경북88호-(1696-07-03),2018-04-23,낙동강,위천,쌍계천,7.14
금당천,지방,경북의성안평,금곡,경북의성안평,안평천(지방) 합류점,경북88호 (1969-07-03 ),2018-04-23,낙동강,위천,쌍계천,4.97
괴촌천,지방,경북의성안평,신월,경북의성안평,안평천(지방) 합류점,경북88호 (1969-07-03 ),2006-07-03,낙동강,위천,쌍계천,6.75
위양천,지방,경북의성안계,위양리,경북의성안계,위양리 위천(지방) 합류점,경북88호 (1969-07-03 ),2019-10-24,낙동강,위천,위양천,1.75
비산천,지방,경북의성구천,조성,경북의성구천,위천(지방) 합류점,경북89호 (1969-07-08 ),2001-12-24,낙동강,위천,비산천,10.8
신곡천,지방,경북구미도개,신곡,경북구미도개,낙동강(국가) 합류점,경북25호 (1982-02-02 ),2010-07-12,낙동강,신곡천,,3.46
감천,지방,경북김천대덕,대리,경북김천구성,감천(국가) 기점,경북536호 (1966-04-22 ),2003-10-23,낙동강,감천,,28.53
부항천,지방,경북김천부항,어전,경북김천지례,감천(지방) 합류점,경북536호 (1966-04-22 ),2020-07-23,낙동강,감천,부항천,11.2
무릉천,지방,경북김천구성,월계,경북김천구성,감천(지방) 합류점,경북536호 (1966-04-22 ),2020-07-13,낙동강,감천,무릉천,6.65
하원천,지방,경북김천대항,주례,경북김천구성,감천(지방) 합류점,경북536호 (1966-04-22 ),2020-07-13,낙동강,감천,하원천,9.71
강곡천,지방,경북김천조마,신곡,경북김천조마,감천(국가) 합류점,경북89호 (1969-07-08 ),2004-11-25,낙동강,감천,강곡천,6.65
대방천,지방,경북김천조마,대방(수방),경북김천감천,감천(국가) 합류점,경북536호 (1966-04-22 ),2012-04-30,낙동강,감천,대방천,7.45
