순번,연번,사고일자,소방접수시간,사고업체명,주소,시도,시군구,사고내용,사고원인,사고유형,제1사고물질,제2사고물질,제3사고물질,사망_직접,사망_기타,부상_직접,부상_기타,환경피해,재산피해
278,2016-059,2016-08-04,10:35:00,동양환경,대전  대덕구 문평동로 2 인근 도로상,대전,대덕구,폐산 수거 화물차량에서 폐산 보관용기가 파손되어 도로상에 폐염산 약 15리터 유출된 사고,운송차량,누출,염산,,,0,0,0,0,,
279,2016-060,2016-08-06,13:00:00,"한국탱크로리 (울산 소재), 한라특수화학 (충북 제천 소재)",경남 양산시 동면 가산리 1202-9 호포역 맞은편 경남정비 주차장,경남,양산시,탱크로리(울산80사2379) 차량고장으로 타 탱크로리(충북83아7714) 차량으로 황산 이송작업 중 연결호수 터지며 탱크로리 관계자 3명 부상 및 유출된 사고(경남소방본부 상황보고서),운송차량,누출,황산,,,1,0,2,0,,
280,2016-061,2016-08-09,15:06:00,동서 열처리 공장,"부산  사상구 삼락동 360-20, 동서열처리 공장",부산,사상구,상기 공장에서 열처리용 암모니아 용액 용기(50kg*2개)의 연결호스 파손(자연파손 추정)되어 누출,시설 결함,누출,암모니아,,,0,0,0,0,,
281,2016-062,2016-08-12,8:55:00,와이피티㈜,"경기 안산시 단원구 신원로 147, 와이피티㈜",경기,안산시 단원구,폐질산(1톤) 수거를 위해 지정폐기물업체인 ㈜동우의 탱크로리 차량이 수거 중 이송배관 주입구 커플링 노후로 질산 약 15ℓ(추정) 유출,운송차량,누출,질산,,,0,0,0,0,,
282,2016-063,2016-08-14,5:25:00,삼성중공업,경남 거제시 장평3로 80 삼성중공업 거제조선소,경남,거제시,"건조중인 FLNG선박 엔진실 바닥에 설치된 배관 이음새에서 염산(33%, 살균)이 약 40리터(추정) 유출된 사고 ",시설 결함,누출,염산(33%),,,0,0,0,0,,
283,2016-064,2016-08-22,15:17:00,한국서부발전,충남 태안군 원북면 방갈리 830-5 한국서부발전,충남,태안군,"발전소 9,10호기 시험가동중 암모니아 저장탱크 탈질공정 기화기 내 안전밸브에서 암모니아 소량 누출되어 1명 부상자 발생한 사고",시설 결함,누출,암모니아,,,0,0,1,0,,
284,2016-065,2016-08-24,10:01:00,삼양사인천1공장,"인천 서구 백범로 726, ㈜삼양사 인천광역시1공장",인천,서구,"사업장 내 변성전분공장 벽체 작업 중 충격에 의해 염산(9%) 저장탱크(최대용량: 22t) 하부 연결밸브가 파손되어 저장중이던 6~7t이 전량 유출되어, 방류벽 내부에 고이고 일부(100ℓ)가 방류벽 외부로 유출(인천 서구청 보고서)",안전기준 미준수,누출,염산(9%),,,0,0,0,0,,
285,2016-066,2016-08-30,6:40:00,럭키산업,"광주 광산구 하남산단 1번로 43, ㈜럭키산업",광주,광산구,"섬유유연제 제조에 사용되는 계면활성제(제품명 ELOTANT GIO50)* 옥외 저장시설(시설용량 : 20톤, 저장량 : 약 2.9톤 추정)과 원료배합기를 연결하는 이송배관(직경 50A)에 설치된 펌프 전단 접속플랜지 가스켓(석면재질)이 파손되어 저장시설 내 보관 중이던 계면활성제 약 400kg(추정)이 유출*계면활성제(Imidazolium compounds CAS No. 72749-55-4, Ethanol 64-17-5, polyoxyethylene ether 9002-92-0, Ethylene glycol 107-21-1의 혼합물) : 기존물질",시설 결함,누출,계면활성제,,,0,0,0,0,"장수천 및 풍영정천 어류(누치, 붕어, 잉어 등) 폐사",
286,2016-067,2016-09-02,2:29:00,영진폴리캠㈜,"경기 김포시 양촌읍 학운공단로 39, 영진폴리캠㈜",경기,김포시,영진폴리캠㈜ 생산동 2층(제2석유류 완제품 창고)에서 원인 미상의 화재가 확대되어 옥내 저장창고에 보관중인 톨루엔 1드럼(200kg)이 소실됨 ,시설 결함,화재,톨루엔,,,0,0,1,0,,
287,2016-068,2016-09-06,1:34:00,,"경북 김천시 아포읍 대성리, 중부내륙고속도로(창원방향) 김천 2터널 입구 200m 전",경북,김천시,중부내륙고속도로를 통해 부산에 위치한 동국제강 부산공장으로 납품하는 과정에서 졸음운전에 따른 전방주시 태만으로 컨테이너 트레일러 후미를 추돌하여 화물차(4.5톤_개별화물)에 적재되어 있던 포리콘 탱크(1톤) 하단부가 파손되어 무수크롬산(12%) 전량이 도로에 유출,운송차량,누출,무수크롬산(12%),,,0,0,0,0,,2000만원
