순번,연번,사고일자,소방접수시간,사고업체명,주소,시도,시군구,사고내용,사고원인,사고유형,제1사고물질,제2사고물질,제3사고물질,사망_직접,사망_기타,부상_직접,부상_기타,환경피해,재산피해
814,2023-070,2023-08-19,10:50:00,㈜대주이엔지,경남 김해시 진영읍 본산2로 51,경남,김해시,경남 김해 소재 ㈜대주이엔지(법정관리) 내 사용중지 중인 스티렌 저장시설(45㎥)에서 이상반응으로 저장시설 상부로 가스가 누출된 사고,시설 결함,누출,스티렌,,,0,0,0,0,,
815,2023-071,2023-08-19,18:06:00,솔베이실리카코리아㈜,전북 군산시 새만금산단2로 229,전북,군산시,사업장 내 황산 저장시설 균열로 인해 황산이 방류벽 내로 약 5톤 누출된 사고,시설 결함,누출,황산,,,0,0,0,0,,
816,2023-072,2023-08-20,9:41:00,㈜팜한농 반월공장,경기 안산시 단원구 해안로 131,경기,안산시 단원구,사업장 보관창고 내 시안화나트륨 용기가 물과 반응하여 흄 발생,안전기준 미준수,누출,시안화나트륨,,,0,0,0,0,,
817,2023-073,2023-08-20,12:06:00,㈜팜한농 울산공장,"울산 남구 부두로 114, 울산항 제4부두",울산,남구,"울산 남구 소재 케이피엑스글로벌(주) 내 저장탱크로부터 울산항 제4부두에 정박 중인 스톨트 프라이드호로 톨루엔 디이소시아네이트(이하. TDI)를 선적 중, 작업자가 펌프 가동 중인 상태에서 샘플링을 위해 선박 측 메인밸브 차단하여 울산항 제4부두(육상)에 임시 설치된 이동식 필터하우징 내 수격작용으로 필터하우징 상부 덮개 볼트 틈 사이로 TDI가 누출",안전기준 미준수,누출,톨루엔 디이소시아네이트(TDI),"2,4-톨루엔 디이소시아네이크","2,6-톨루엔 디이소시아네이트",0,0,0,0,,
818,2023-074,2023-08-23,19:27:00,고려대학교 사범대학부속고등학교,서울 성북구 정릉로 161,서울,성북구,교내 공학동아리 화학실에서 로켓캔디 추진체인 고체연료 제작 중 폭발 및 학생 1명 화상 입는 사고 발생,안전기준 미준수,폭발,질산칼륨,D-솔비톨,,0,0,1,0,,
819,2023-075,2023-08-30,19:54:00,홍인화학㈜,"울산 남구 북부순환도로 51 인근, 좋은삼정병원 인근 도로상",울산,남구,사업장에서 군부대(정수장)에 납품하기 위해 염소 봄베(100kg) 2개를 운반하던 중 용기 1개의 안전밸브 파손으로 도로상에서 누출(약 54kg)된 사고,운송차량,누출,염소,,,0,0,1,0,,
820,2023-076,2023-08-31,15:48:00,㈜용진에스앤티(S&T),울산 남구 여천로 215-84,울산,남구,"사업장 내 작업자가 제품(OBSH-75, 발포제) 생산을 위해 혼련기*에 원료 투입 후 진행상황 확인을 위해 원료 투입구를 개방한 순간, 고체원료에 화상을 입은 사고",시설 결함,화재,"OBSH-75(제품명, 발포제)",,,0,0,1,0,,
821,2023-077,2023-06-12,,현대다이텍㈜,대구  서구 염색공단천로19길 30,대구,서구,"유해화학물질 취급시설 방류벽 공사를 위해 작업자가 미장 작업 중 수산화나트륨 수용액을 물로 전달받아 작업 종료까지 노출되어 손,발 등에 화상을 입은 사고",안전기준 미준수,기타,수산화나트륨,,,0,0,1,0,,
822,2023-078,2023-07-12,,㈜엘지화학 김천공장(운반업체: ㈜로비스),경북 김천시 공단로 152-26,경북,김천시,사업장 유해화학물질 하역장 내 탱크로리 차량(㈜로비스)이 수산화나트륨(50%)을 저장탱크(㈜엘지화학 김천공장)로 주입하는 과정에서 호스가 연결된 차량 부분 메인밸브를 개방하자 커플러(coupler) 체결 미흡으로 이음새 부분에서 수산화나트륨이 약 0.5L(운반업체 추산)가 누출되어 작업자(운전자)에게 비산된 사고,안전기준 미준수,누출,수산화나트륨(50%),,,0,0,1,0,,
823,2023-079,2023-09-04,15:13:00,㈜셀트리온 제2공장,인천 연수구 아카데미로51번길 20,인천,연수구,실험실에서 사용된 시약 공병 2개를 화물차량(1톤)을 이용하여 지정폐기물 보관장소로 운반한 후 차량에서 폐기물 보관시설로 하역하는 과정에서 종이상자가 찢어지면서 용기 내 황산 잔량(약 0.2~0.3L)이 누출되어 부상자가 발생한 사고,안전기준 미준수,누출,황산,,,0,0,2,0,,
824,2023-080,2023-09-04,19:24:00,㈜팜한농 울산공장,"울산 남구 부두로 114, 울산항 제4부두",울산,남구,"㈜팜한농에서 제조한 황산을 KPX글로벌㈜의 저장탱크로 이송 후 선박으로 선적하는 과정 중, 저장탱크에서 선박으로 선적하는 6인치 배관 플랜지 부식으로 황산이 누출된 사고(약 320kg 누출 추정)",시설 결함,누출,황산,,,0,0,0,0,,
825,2023-081,2023-09-06,,㈜카프로,울산 남구 사평로 108-12,울산,남구,㈜카프로 제1공장 RO지역 1층 유틸리티 라인(N2 Line 3/4B)에서 폐수처리 공정 가동 중지를 위해 pH 조절용 황산 배관 세척(N2 purge)을 위한 밸브 개방 중 질소 하부 라인을 통해 배관 내 잔류하던 황산이 누출되어 작업자 1명이 황산 접촉으로 부상,시설 결함,누출,황산,,,0,0,1,0,,
826,2023-082,2023-09-09,8:55:00,㈜우영엔텍,"전북 군산시 외항로 83, OCI㈜ 군산공장 P1공정 주변",전북,군산시,폐혼산 이송 작업 중 지정폐기물 수집운반차량의 에어브레이크시스템(ABS) 파손으로 인해 하부에 리크(leak) 발생하여 폐혼산 약 11톤 누출(추정),운송차량,누출,"폐혼산(질산 62%, 불산 5%)",,,0,0,0,0,,
827,2023-083,2023-09-12,4:39:00,㈜태원 시흥지점,경기 시흥시 옥구천서로93번길 65,경기,시흥시,"사업장 내 염산 저장탱크(30m3, TK-109) 하단부위 파손으로 방류벽 내 염산(32%)이 누출(약 50L 이하 추정)된 사고",시설 결함,누출,염산(32%),,,0,0,0,0,,
828,2023-084,2023-09-18,6:43:00,대영물산㈜,부산  사하구 장평로 174,부산,사하구,사업장 생선 보관 창고 기계실(1층) 내 액분리기에 연결된 배관 부식으로 암모니아가 누출(추정)된 사고,시설 결함,누출,암모니아,,,0,0,0,0,,
829,2023-085,2023-09-19,,금호미쓰이화학㈜,전남 여수시 여수산단2로 305,전남,여수시,"염산 탱크로리 차량 상차 중 24.3ton을 실을 수 있으나, 상차 후 계근 값이 23.3ton으로 운반자가 1ton 추가 상차를 요구함. 금호미쓰이화학(주) 담당자가 추가 상차 시 0.95ton을 설정하여야 하나, 실수로 9.5ton을 설정하여 주입구 주변에서 염산 흄 발생, 약 10L 누출",안전기준 미준수,누출,염산,,,0,0,0,0,,
830,2023-086,2023-09-19,15:59:00,삼양화인테크놀로지㈜,전북 군산시 자유무역1길 63,전북,군산시,"주공정동 2층 반응기(R-232B) 하부 천공이 발생하여 황산 슬러리(수지)가 약 930kg 유출 된 사고     ※ 수지에 양이온기를 넣어주기 위해 황산과 접촉 시킨 후, 황산을 순차적으로 제거하는 공정에서 발생한 사고",시설 결함,누출,황산,,,0,0,0,0,,
831,2023-087,2023-09-20,2:29:00,애경케미칼㈜,"울산 울주군 청량읍 상개로 63-35, 애경케미칼㈜ 2부지 야적장",울산,울주군,아라미드 섬유용 원료(제조 연구용도)의 반응잔류물을 야적장(2부지)에 임시 보관하던 중* 내부포장이 손상된 포대의 잔류물이 공기 중 수분과 접촉하면서 염산 증기가 발생된 사고,안전기준 미준수,누출,테레프탈로일클로라이드(100%),,,0,0,0,0,,
832,2023-088,2023-09-20,8:26:00,삼진케미칼㈜,부산  사상구 학장로 169,부산,사상구,사업장 내 질산(60%)을 반입하여 질산과 물을 1:3 비율로 혼합한 용기(IBC탱크)를 적재하는 과정에서 지게차가 물기에 미끄러지면서 용기를 타격하여 IBC탱크가 파손되어 내부 질산이 누출된 사고(추정),안전기준 미준수,누출,질산(20%),,,0,0,0,0,,
833,2023-089,2023-09-25,,OCI㈜ 군산공장,전북 군산시 외항로 82,전북,군산시,"인산공정 대정비 기간 중 작업자 4명이 황린 여과기(strainer) 점검작업 중 워터배관 플랜지에서 황인 약 0.21 kg 누출되어 연기 발생, 인근 소방호스를 이용하여 방재 작업 중 작업자 2명에게 연기와 섞인 물이 튀어 상해 확인 및 병원 후송",안전기준 미준수,누출,황인,,,0,0,2,0,,
834,2023-090,2023-10-01,,에이스앤이㈜,울산 울주군 온산읍 회학3길 38-7,울산,울주군,"울산 울주군 소재 에이스앤이(주) 내 제품 테스트 용도로 제조한 발수제(n-뷰틸알코올과 물혼합물)를 IBC에 보관 중 하부밸브 파손(추정)으로 발수제 약 500 L(추정)가 누출되어 사업장 외부 우수로를 통해 인근 사업장(S-OIL(주) 온산공장, 약 2 km) 내 학남천으로 유입된 사고",시설 결함,누출,뷰틸알코올,,,0,0,0,0,,
835,2023-091,2023-10-12,,고려아연㈜ 온산제련소,울산 울주군 온산읍 이진로 139,울산,울주군,"연용해공정 내 침전조(L70DCN-TH.024) 하부 방류턱 청소작업 상태 확인을 위해 작업자가 순찰 중 미끄러져 침전조 하부에 잔류하는 슬러리액*에 접촉하여 부상(화상)을 입은 사고      * 슬러리액이 침전조에서 방류턱 내로 배출 후 회수하는 방식으로 운영되며, 부상자가 접촉한 슬러리액(60~70℃, 황산 10% 미만)은 청소작업 이후 바닥에 남은 일부 잔여물임",안전기준 미준수,누출,슬러리액(황산 10% 미만),,,0,0,1,0,,
836,2023-092,2023-10-12,,고려아연㈜ 온산제련소,울산 울주군 온산읍 이진로 139,울산,울주군,"황산 저장시설(제조,사용시설 보조 탱크) 주입 밸브 오조작*에 의해 황산(96~98%)이 방류벽 내부로 누출(overflow)된 사고(누출량 70kg)     ※ 황산 제조사용시설로부터 해당 시설로 황산이 유입되는 과정에서 작업자가 주입구 밸브를 열림 방향으로 오조작하여 지정 저장용량 초과      ※ 연용해공정 내 순찰작업자 미끄러짐 부상 사고 신고로 인한 현장 조사 중 인근 저장시설에서 황산 누출사고 발견",안전기준 미준수,누출,황산(96~98%),,,0,0,0,0,,
837,2023-093,2023-10-14,12:25:00,코오롱인더스트리㈜,울산 남구 사평로 33,울산,남구,"아염소산나트륨 수용액(24%) 저장시설 정기보수 작업을 폐수 중화조로 이송하던 중 중화조 내부 잔여물과의 이상반응으로 중화조가 폭발, 손상되어 내부의 아염소산나트륨이 방류벽 내 누출된 사고",안전기준 미준수,폭발,아염소산나트륨(24%),,,0,0,0,0,,
838,2023-094,2023-10-23,14:03:00,㈜씨엠디엘,충남 천안시 동남구 성남면 5산단2로 107,충남,천안시 동남구,옥외저장탱크에 저장되어 있는 테트라하이드로퓨란(THF)을 생산A동 3층 합성실로 끌어올려 PP드럼(200L)에 소분하는 과정 중 드럼 내부에서 정전기로 인한 화재 발생(추정),안전기준 미준수,화재,테트라하이드로퓨란,,,0,0,1,0,,
839,2023-095,2023-10-27,10:14:00,에이에스이코리아㈜,경기 파주시 산업단지길 76,경기,파주시,황산(98%)을 IBC탱크에서 폐수처리장 황산 저장고로 이송작업 중 주입 호스 이탈로 황산 약 5 L(추정)가 누출되며 작업자가 부상당한 사고,안전기준 미준수,누출,황산(98%),,,0,0,1,0,,
840,2023-096,2023-11-01,,㈜엘지에너지솔루션 오창 에너지플랜트2,충북 청주시 청원구 오창읍 2산단로 81,충북,청주시 청원구,동절기 동파방지 대비 SRP설비 DI-Water 배출 작업 중 작업자가 배출대상이 아닌 NMP배관 드레인 밸브를 열어 약 50리터 바닥에 누출된 사고,안전기준 미준수,누출,1-메틸-2-피롤리디논,,,0,0,0,0,,
841,2023-098,2023-11-03,15:44:00,농협경제지주㈜ 고령축산물공판장,경북 고령군 다산면 승곡리 787,경북,고령군,"사업장 내 예냉실(6번) 상부의 유닛 쿨러 코일 파손으로 암모니아가 250L(추정, 사업장 관계자 진술) 누출된 사고",시설 결함,누출,암모니아,,,0,0,0,0,,
842,2023-099,2023-11-06,11:06:00,부경대학교 6공학관 3층,부산  남구 신선로 365,부산,남구,"정밀 열제어 및 열측정 실험실에서 열전도 실험을 위해 나트륨이 투입된 히트파이프를 가열하는 과정에서 다량의 연기가 발생한 사고    ※ 기존 실험 시 온도 800℃ 이하에서 진행되었으나, 사고 당일 온도를 900℃까지 상승시켜 진행한 것으로 확인(낙동강유역환경청 조사 결과)",안전기준 미준수,누출,나트륨,,,0,0,0,0,,
843,2023-100,2023-11-07,,모트라스㈜,광주 광산구 진곡산단중앙로 45,광주,광산구,"사업장 내 MDI(4,4'-디이소시안산 디페닐메탄)탱크와 연결된 메인펌프 막힘 현상으로 임시펌프와 배관을 연결해서 사용하던 중 배관과 펌프 이음부 탈락으로 MDI 약 1.5 ton 누출(약 1ton 수거완료)된 사고",시설 결함,누출,"4,4'-디이소시안산 디페닐메탄",,,0,0,0,0,,
844,2023-101,2023-11-07,,삼성전자㈜ 기흥사업장,경기 용인시 기흥구 삼성로 1,경기,용인시 기흥구,삼성전자㈜ 협력업체(화성엔지니어링㈜) 소속 직원이 폐황산(70~80%) 탱크와 연결된 배관의 압력 저감을 위한 벤트 작업 과정에서 소량(1mL 이하 추정)의 폐황산 미스트가 발생하여 인근 지역 감독자에게 튄 사고,안전기준 미준수,누출,폐황산,,,0,0,0,0,,
845,2023-102,2023-11-10,,코오롱인더스트리㈜ 구미공장,경북 구미시 수출대로 48,경북,구미시,"황산 필터하우징 교체 후 하부 단관 길이에 단차가 생겨 재조립이 불가하자, 대한ENG(협력업체) 소속 작업자가 교체할 배관 제작을 위한 실측 도중 후단 밸브(레버타입)를 건드려 입상 배관에 잔류해있던 황산이 소량 누출(약 1L 추정)되면서 작업자의 양 손목과 왼쪽 허벅지 부위와 접촉",안전기준 미준수,누출,황산,,,0,0,1,0,,
846,2023-103,2023-11-14,,씨큐브㈜,충북 진천군 진천읍 성중로 144,충북,진천군,"사업장 내 스크러버로 투입되는 수산화나트륨(함량 50%)이 배관 내 굳어있어*, 배관과 연결된 T형 조인트 배관 쪽에 지하수 배관을 체결하여 수압으로 제거하는 작업 중 지하수 배관이 압력을 버티지 못하고 빠지면서 작업자 얼굴에 수산화나트륨이 튄 사고   *사고 당시 진천지역 기온은 약 5℃로 50% 수산화나트륨 용액(어는점 약 12℃)이굳거나 얼을 수 있는 조건임",안전기준 미준수,누출,수산화나트륨,,,0,0,1,0,,
847,2023-104,2023-11-15,3:51:00,성진수산㈜,부산  서구 원양로 87,부산,서구,사업장 옥상(12층) 내 냉동 응축기 연결 배관 부식(추정)으로 암모니아가 누출된 사고,시설 결함,누출,암모니아,,,0,0,0,0,,
848,2023-105,2023-11-15,9:04:00,제이엘켐㈜,충남 천안시 서북구 백석공단6길 47,충남,천안시 서북구,"연구동 내 반응기에서 반도체 재료용 물질에 메탄올을 투입하여 불순물을 제거하는 공정 중 반응기 하부 필터에서 화재발생(추정)     ※ 화재 발생 약 30분 후 사업장으로부터 약 190, 90, 70m 거리에 있는 우수관 맨홀이 차례로 폭발에 의해 파손됨",안전기준 미준수,화재,메탄올,,,0,0,0,0,,
849,2023-106,2023-11-15,9:20:00,㈜감로파인케미칼,경북 칠곡군 약목면 교8길 105,경북,칠곡군,"도료 제조 공정에서 제품(DE34-10*)을 제조하기 위해 조정기에 배합 및 분산이 완료된 원료를 투입 후 교반 과정에서 미상의 점화원으로 유증기가 화재·폭발하여 작업 중이던 근로자 1명이 부상(화상)을 입은 사고     * 비유해화학물질(속건알키드 수지, 이산화티타늄, 톨루엔, 자일렌 등 함유)",안전기준 미준수,화재,톨루엔,,,0,0,0,1,,
850,2023-107,2023-11-15,10:32:00,남양공업화학㈜,충남 공주시 정안농공단지길 32-87,충남,공주시,제조동(조색동14)에서 난연제* 제조를 위해 교반기에 원료 투입 중 발생한 분진 및 유증기(추정)으로 인해 집진기 하부(1층 백필터)에서 폭발이 발생하여 공장 1동이 손상된 사고,시설 결함,폭발,,,,0,0,0,1,,
851,2023-108,2023-11-19,,SK에너지㈜,울산 남구 신여천로 2,울산,남구,"사업장 내 No 2. FCC 생산 1 Unit에서 No 6. SRP 공정으로부터 유황 저장탱크(Y-7662B)로 이송하는 배관 내 유황 흐름이 원활하지 않아 벤트 라인을 통해 굳어 있는 유황을 녹이는 과정 중, 배관 내 유황이 일시적으로 분출되어 작업자의 안면에 접촉되어 부상을 입은 사고(사업장 분출 원인조사 중)       ※ SRP 공정: 잔사유 탈황 공정에서 제거된 유황 물질에서 황을 회수하는 공정",시설 결함,누출,용융유황,,,0,0,1,0,,
852,2023-109,2023-11-21,,현대제철㈜ 당진공장,충남 당진시 송악읍 북부산업로 1480,충남,당진시,1냉연공장 내 플렉시블 배관 크랙으로 인하여 열연강판 산세척 용도로 사용되는 염산(18%)가 약 300L(사업장 추정) 누출된 사고,시설 결함,누출,염산(18%),,,0,0,0,0,,
853,2023-110,2023-11-22,22:10:00,에스엠스틸㈜ 군산공장,전북 군산시 자유무역로 193,전북,군산시,사업장 내 격막식압력계의 내부 테프론 손상으로 산세정액*이 약 10 L 누출(추정)된 사고 * 후판(알루미늄판)의 불순물제거용(물 94: 황산(95%) 4 :불산(55%) 2),시설 결함,누출,산세정액(물 94: 황산(95%) 4: 불산(55%) 2),,,0,0,0,0,,
854,2023-111,2023-12-06,,에어머트리얼즈㈜,충북 청주시 상당구 가덕면 국전삼항길 130,충북,청주시 상당구,"진공펌프* 교체작업을 실시한 작업자 2명**이 작업 이틀 후 호흡기 통증으로 병원 입원      * 잔가스 회수가 종료된 봄베 내 잔류 “헥사플루오르-1,3-부타디엔”을 스크러버로 이송하는 펌프      ** 펌프 유지보수를 위한 외주업체 ㈜아이엠 소속 직원",안전기준 미준수,기타,"헥시플루오로-1,3-부타디엔",,,0,0,2,0,,
855,2023-112,2023-12-09,21:11:00,이엔에프테크놀로지㈜,충남 천안시 동남구 성남면 5산단3로 14,충남,천안시 동남구,옥외 암모니아 기화기(VR-2101A) 하단 열교환기 연결 볼트 체결 미흡(추정)으로 플랜지에 유격이 발생하여 암모니아가 누출된 사고    ※ 누출된 암모니아는 자동 살수설비에 의해 방재되어 방류벽 내에 잔류(12. 10.(일) 전량 회수 완료),시설 결함,누출,암모니아,,,0,0,0,0,,
856,2023-113,2023-12-12,17:02:00,이티알㈜,경기 화성시 서신면 전곡산단9길 5,경기,화성시,작업장 내 혼합기 내부의 자동차 변속기용 마찰재 원료인 카본가루와 메틸알코올(99.5%)을 전동 드릴로 교반작업 중 스파크에 의해 발생한 화재사고,안전기준 미준수,화재,"메틸알코올(99.5%), 카본",,,0,0,0,0,,
857,2023-114,2023-12-15,10:09:00,SK picglobal㈜,울산 남구 용잠로 255,울산,남구,"울산 남구 소재 SK지오센트릭㈜ 사업장 내 SK picglobal㈜ 소유 산화프로필렌 사외배관(SK CLX #258B/L)에서 당초 보수 예정인 SK지오센트릭㈜ NEP로 연결된 배관(3″)을 절단해야 하나, 인접한 KPX케미칼㈜ 배관(3″)을 오인하여 절단, 배관 내 잔류하던 산화프로필렌 약 200kg(사업장 추정) 누출로 화재가 발생하여 작업자 1명이 부상",안전기준 미준수,누출,산화프로필렌(99.98%이상),,,0,0,0,1,,
858,2023-115,2023-12-22,,코오롱인더스트리㈜ 구미공장,경북 구미시 수출대로 48,경북,구미시,"D/UP 방사공정 내 취급시설(황산 100% + 폴리머) 후단 펌프가 원인 미상으로 멈추면서 인터락 시스템 작동으로 전체 설비가 중단되어 배관 내 잔류중인 폴리머가 경화될 것을 우려, 배관을 탈거하는 도중 황산 일부가 작업자의 손 부위에 접촉되는 사고 발생",안전기준 미준수,누출,황산,,,0,0,1,0,,
859,2023-116,2023-12-26,7:07:00,SK인천석유화학㈜,인천 서구 봉수대로 415,인천,서구,"수산화나트륨 이송배관 파손으로 수산화나트륨 약 1,100L(추정)가 방류벽에 누출된 사고",시설 결함,누출,수산화나트륨,,,0,0,0,0,,
860,2024-001,2024-01-03,3:07:00,성진산업,경남 양산시 산막공단남7길 17,경남,양산시,"누전으로 발생한 화재로 인해 사업장 공장 전소로 도금공정액*(약 12.5톤 추정)과 폐수(약 5톤 추정, 일반화학물질), 인근 사업장 보관창고 내 제품(접착제, 일반화학물질)이 소방용수와 혼합되어 인근 하천으로 유입",시설 결함,화재,"도금공정액 및 폐수, 접착제(황산(5~6%), 질산(3~4%), 수산화나트륨(2~3%), 불산(0.5%))",,,0,0,0,0,수계 유입,
861,2024-002,2024-01-09,21:55:00,㈜케이앤티로지스틱스,경기 화성시 양감면 은행나무로62번길 18-99,경기,화성시,위험물 및 유해화학물질* 보관창고(2동) 통기구에서 발생한 화재(증기 점화 추정)로 보관창고(2동) 전체가 소실,시설 결함,화재,"에틸렌디아민(99.9%), 메틸에틸케톤(75%), 아세트산에틸(30~40%, 30~60%, 100%)",,,0,0,0,0,수계 유입,
862,2024-003,2024-01-18,9:30:00,㈜아팩,"충남 공주시 금홍동 321-2, 공주교도소 교차로 인근",충남,공주시,화학물질 운반차량이 점착제를 담은 철제용기(1ton) 4개를 운반 중 공주교도소 교차로 인근에서 철제용기 1개 하부 밸브가 개방되어 점착제 약 143kg이 누출(추정),운송차량,누출,아크릴레이트 공중합수지(63~65%),,,0,0,0,0,수계 유입,
863,2024-004,2024-01-26,9:29:00,코오롱인더스트리㈜,울산 남구 사평로 33,울산,남구,스티렌이 함유된 연료첨가제를 상차하던 중 탱크로리 운반자가 차량 격벽 밸브를 개방하지 않은 채 탱크로리에 상차하여 저장용량을 초과한 스티렌 약 20L(사업장 추정)가 벤트라인을 통해 트랜치로 누출(전량 오일트랩으로 회수),안전기준 미준수,누출,스티렌(23.5~33.5%),,,0,0,0,0,,
864,2024-005,2024-01-26,,에이치디현대오일뱅크㈜,충남 서산시 대산읍 평신2로 182,충남,서산시,부탄제조공정 저장탱크에서 물질이송 작업 중 테트라클로로에틸렌이 드레인 노즐에서 드레인 허브를 통해 집수조로 소량 누출,시설 결함,누출,테트라클로로에틸렌,,,0,0,0,0,,
865,2024-006,2024-01-27,,㈜코스모텍 세종2사업장,세종 전의면 전의면 산단길 21-40,세종,전의면,"제조소(주4동) 2층 배합기에 배합용 수지(PCN 622kg, T-115 110kg)를 맨홀로 투입 후 맨홀 뚜껑을 닫고 5초 뒤 폭발·화재가 발생",안전기준 미준수,기타,"톨루엔(100%), 아세트산에틸(99.8%)",,,0,0,3,0,,
866,2024-007,2024-02-01,15:10:00,개인화물,"전남 무안군 삼향읍 맥포리 937-2, 서해안고속도로(목포방향) 죽림분기점 인근",전남,무안군,"적재물(염산(추정) 용기(20리터), 약 1,000개)를 운반 중이던 탑차(윙바디, 25톤)가 서해안고속도로(충남 당진 → 전남 완도)에서 적재물 잘못 싣어, 죽림분기점(JC) 인근 램프구간에서 되돌아가던 중 적재 불량으로 인해 용기 617개(추정) 정도가 바닥에 떨어지고 그 중 129여개(약 2.6톤)가 파손되어 도로상에 누출",운송차량,누출,염산(염화수소),,,0,0,0,0,,
867,2024-008,2024-02-02,,㈜한승항만물류산업,"울산 남구 용연로 370, 울산신항컨테이터너미널 내",울산,남구,부두에 정박되어 있는 선박(KMTC XIAMEN호)으로 선적 작업 중 컨테이너가 선박구조물(셀가이드)에 부딪히며 컨테이너 내 플렉시백이 파손되어 적재된 디옥틸테레프탈레이트가 육상 및 해상으로 약 40 L 유출,안전기준 미준수,누출,디옥틸테레프탈레이트(100%),,,0,0,0,0,해상 유입,
868,2024-009,2024-02-06,9:56:00,삼성디스플레이㈜ 아산2사업장,충남 아산시 탕정면 삼성로 181,충남,아산시,"Photo공정 내 제조사용시설(현상기, A3PHTO1S) 설비 유지보수 작업 준비 중 벤트 배관에서 수산화테트라메틸암모늄 약 1~2방울이 작업자 얼굴에 튄 사고",안전기준 미준수,누출,수산화테트라메틸암모늄(2.38%),,,0,0,0,0,,
869,2024-010,2024-02-13,13:05:00,엔알에스한익스㈜,충남 천안시 서북구 2공단7길 50,충남,천안시 서북구,소니드㈜에서 수산화나트륨(25%) 탱크로리로 출하가 완료된 후 해당 차량의 운송 불가로 다른 탱크로리에 수산화나트륨을 이송하는 중 호스가 분리되면서 수산화나트륨 약 100kg 누출,운송차량,누출,수산화나트륨(25%),,,0,0,1,0,,
870,2024-011,2024-03-01,13:09:00,㈜엘지화학 김천공장 내 하역장,경북 김천시 공단로 152-26,경북,김천시,사업장 내 하역장(운송차량)에서 아크릴산(99.9%)을 저장시설로 하역하기 위해 작업자(수급사)가 플렉시블 호스 커플링을 운송차량 토출구에 체결하는 과정에서 토출구 인근에 위치한 퍼지용 에어 밸브를 거드려 플렉시블 호스가 급격히 이탈되면서 호스 내 잔류 아크릴산이 작업자에게 튄 사고,안전기준 미준수,누출,아크릴산(99.9%),,,0,0,1,0,,
871,2024-012,2024-03-14,,한국중부발전㈜ 신보령발전본부,충남 보령시 주교면 송도길 201,충남,보령시,"사업장 내 일상폐수저장조에 집수한 폐수 중화처리를 위해 탱크로리 차량에서 주입호스를 이용하여 수산화나트륨(4~4.5%) 하역작업 중, 작업자가 호스를 밟고 있던 발을 떼면서 호스가 고정되지 않아 수산화나트륨이 비산되어 작업자 1명이 부상(화상)당한 사고",안전기준 미준수,누출,수산화나트륨,,,0,0,1,0,,
872,2024-013,2024-03-14,13:03:00,의정부시 맑은물환경사업소,경기 의정부시 호국로1049번길 39,경기,의정부시,정수장 내 취급 중인 염소가스 예비용기(봄베 100kg)에서 안전밸브 불량으로 가스가 누출(약 2kg 추정),시설 결함,누출,염소,,,0,0,0,0,,
873,2024-014,2024-03-15,10:28:00,피아이첨단소재㈜,충북 진천군 이월면 고등1길 27,충북,진천군,운반차량 운전기사가 1:10분경 단독으로 저장탱크에서 탱크로리로 폐유기용제를 이송하는 과정에서 용량을 초과 주입하여 탱크로리 헤치를 통해 약 10.44ton이 누출되고 이중 2.95ton(업체 추정)이 수계로 유출,안전기준 미준수,누출,"폐유기용제(N,N-디메틸포름아미드 60%, 무수아세트산 20%, 3-메틸파라딘 5%)",,,0,0,0,0,수계 유입(어류 폐사),
874,2024-015,2024-03-19,0:25:00,의정부시 맑은물환경사업소,경기 의정부시 호국로1049번길 39,경기,의정부시,보관창고에 보관 중인 염소가스 용기(봄베 100kg)에 약 0.1mm 핀홀이 발생하여 염소가스가 누출,시설 결함,누출,염소,,,0,0,0,0,,
875,2024-016,2024-03-24,,SK인천석유화학㈜,인천 서구 봉수대로 415,인천,서구,"자일렌 저장탱크의 개방검사 중 취급시설인 펌프 케이싱 파손(크랙)으로 자일렌 미량(약 4 L, 추정) 누출",시설 결함,누출,자일렌,,,0,0,0,0,,
876,2024-017,2024-03-25,18:04:00,개인화물,"대구  북구 중앙대로 591, 코오롱하늘채2차아파트 지상주차장 내",대구,북구,아파트 지상주차장에 탑차가 주차 중 차량 내 적재된 우레탄폼(MDI 함유) 드럼이 넘어지면서 일부가 바닥으로 누출,운송차량,누출,메틸렌비스페닐이소시아네이트(MDI),,,0,0,0,0,,
877,2024-018,2024-04-01,,㈜엘지에너지솔루션 오창2공장,충북 청주시 청원구 오창읍 2산단로 81,충북,청주시 청원구,"NMP 정제공정 내 샘플박스 상단 플랜지에서 미세한 누수가 관찰되어, 보수 작업을 위해 배관 드레인 중 NMP(약 20 L)가 샘플박스를 통하여 방류벽 내로 누출",안전기준 미준수,누출,1-메틸-2-피롤리디논,,,0,0,0,0,,
878,2024-019,2024-04-02,,현대제철㈜ 당진공장,충남 당진시 송악읍 북부산업로 1480,충남,당진시,1냉연공장 내 직장협의회실 건물 외벽청소 작업을 했던 작업자 1명이 장갑 틈새 사이로 스며든 다목적세정제로 인해 손목을 부상(화상)당한 사고,안전기준 미준수,누출,"다목적세정제(수산화나트륨(1~2%), 폴리에틸렌글리콜(2~5%), 도데실 알코올 폴리옥시에틸렌 에테르(2~5%), 물(78~90%))",,,0,0,1,0,,
