연번,시도,시군구,읍면동,리,지번,(위도)도,(위도)분,(위도)초,(경도)도,(경도)분,(경도)초,취약지역유형,지정면적(제곱미터),데이터기준일자
2742,경상북도,영주시,단산면,동원리,산100-2임,36,52,55.799,128,36,43.800,토석류,0,2026-06-04
2743,경상북도,영주시,가흥동,,358전,36,49,2.999,128,36,43.000,토석류,871.2,2026-06-04
2744,경상북도,영주시,단산면,구구리,산16-3임,36,54,13.899,128,36,59.000,토석류,0,2026-06-04
2745,경상북도,영주시,단산면,병산리,산28-3임,36,56,42.237,128,37,8.423,산사태,0,2026-06-04
2746,경상북도,영주시,단산면,구구리,산5임,36,55,0.974,128,37,7.916,토석류,93577,2026-06-04
2747,경상북도,영주시,단산면,병산리,산22,36,56,17.084,128,37,11.053,토석류,939,2026-06-04
2748,경상북도,영주시,조와동,,산106번지,37,51,44.8,128,37,45,토석류,10000,2026-06-04
2749,경상북도,영주시,영주동,,산7-1임,36,50,4.331,128,37,18.795,토석류,0,2026-06-04
2750,경상북도,영주시,부석면,보계리,산97-3임,36,56,11.111,128,37,27.695,토석류,0,2026-06-04
2751,경상북도,영주시,단산면,병산리,산17-1,36,56,4.750,128,37,30.871,산사태,1309,2026-06-04
2752,경상북도,영주시,단산면,구구리,산68번지,36,53,58.917,128,37,30.765,토석류,3500,2026-06-04
2753,경상북도,영주시,단산면,동원리,산35,36,53,14.099,128,37,42.941,토석류,42664.31,2026-06-04
2754,경상북도,영주시,단산면,구구리,산65-6,36,54,13.158,128,37,44.399,산사태,748,2026-06-04
2755,경상북도,영주시,조와동,,산6-1임,36,51,44.799,128,37,45.600,토석류,2953.8,2026-06-04
2756,경상북도,영주시,부석면,소천리,산76,36,59,33.899,128,37,55.241,토석류,727008.38,2026-06-04
2757,경상북도,영주시,단산면,구구리,33,36,54,45.460,128,37,55.250,토석류,268,2026-06-04
2758,경상북도,영주시,단산면,동원리,산65,36,53,59.266,128,37,54.842,토석류,4500,2026-06-04
2759,경상북도,영주시,단산면,구구리,산63,36,54,26.78,128,37,57.9,토석류,495,2026-06-04
2760,경상북도,영주시,단산면,동원리,산46,36,53,35.599,128,37,57.741,토석류,36498.5,2026-06-04
2761,경상북도,영주시,단산면,구구리,산61,36,54,30.020,128,38,2.000,산사태,1722,2026-06-04
2762,경상북도,영주시,단산면,구구리,산60,36,54,39.210,128,38,2.516,토석류,58214.95,2026-06-04
2763,경상북도,영주시,단산면,동원리,산38-1임,36,53,12.899,128,38,2.600,토석류,0,2026-06-04
2764,경상북도,영주시,부석면,감곡리,936구,36,55,17.297,128,38,15.398,토석류,0,2026-06-04
2765,경상북도,영주시,단산면,동원리,산54-1임,36,53,43.999,128,38,14.800,토석류,105124,2026-06-04
2766,경상북도,영주시,상망동,,산57-1,36,51,10.436,128,38,14.809,산사태,33286,2026-06-04
2767,경상북도,영주시,부석면,감곡리,산48-1임,36,55,11.925,128,38,19.006,산사태,0,2026-06-04
2768,경상북도,영주시,문수면,만방리,산206임,36,45,50.199,128,38,11.600,토석류,207.36,2026-06-04
2769,경상북도,영주시,문수면,승문리,산49-1임,36,45,14.375,128,38,11.163,산사태,552,2026-06-04
2770,경상북도,영주시,단산면,구구리,산58,36,54,42.800,128,38,24.097,산사태,819,2026-06-04
2771,경상북도,영주시,조와동,,산12-1,36,51,55.632,128,38,24.409,산사태,7409,2026-06-04
2772,경상북도,영주시,부석면,임곡리,산69-4,37,0,4.341,128,38,31.644,토석류,86125.89,2026-06-04
2773,경상북도,영주시,상망동,,산8,36,49,46.740,128,38,23.208,산사태,689,2026-06-04
2774,경상북도,영주시,상망동,,산6-1,36,49,35.859,128,38,25.319,산사태,1171,2026-06-04
2775,경상북도,영주시,조와동,,산13-1,36,51,55.555,128,38,28.553,토석류,1505,2026-06-04
2776,경상북도,영주시,부석면,임곡리,산67-4임,37,0,6.999,128,38,40.100,산사태,8948,2026-06-04
2777,경상북도,영주시,부석면,노곡리,산14-6임,36,57,57.089,128,38,41.124,토석류,0,2026-06-04
2778,경상북도,영주시,상망동,,산15,36,50,2.558,128,38,34.501,산사태,173,2026-06-04
2779,경상북도,영주시,상망동,,산17,36,50,8.480,128,38,42.680,산사태,396,2026-06-04
